name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Stó:lō Legacy Scholarship,In-Course,TRUE,"One or more scholarships to a total value of $5,000 per annum are awarded to registered members of any Stó:lō First Nation (i.e. any First Nation located along the Fraser River and its tributaries between Langley and Yale) entering or continuing in a certificate or degree program (undergraduate or graduate) at the University of Victoria. Applicants must submit a short statement of the educational goals they wish to achieve with this scholarship, a high school transcript and/or other relevant educational transcripts, proof of band, and two letters of reference affirming the student' commitment and capacity to complete their academic program and, where applicable, their community engagement. Applications for graduate students may be obtained from the Faculty of Graduate Studies, Office of the Dean and must be submitted to that office by September 15. Undergraduate students may apply via the online application by May 31. In the case of an undergraduate student, approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of IACE; in the case of a graduate student, approval of the recipient(s) will be made by the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of IACE.",Varies,Stó:lō First Nation members,Not specified,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,5000,FALSE,FALSE
SunTracker Technologies Scholarship,In-Course,TRUE,"One or more scholarships of $1,000 or more are awarded to academically outstanding undergraduate women students in Computer Science or Software Engineering who have a third or fourth year standing. Preference will be given to students who have pursued a project or work term in photorealistic lighting. Students in combined programs with Computer Science will be eligible for this award. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering.",Varies,"Women, project/work term in photorealistic lighting",Engineering,Woman,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Sybil Verch Woman in Business Award,In-Course,TRUE,"An award of $2,500 is awarded to an outstanding woman student in the Bachelor of Commerce program at the Peter B. Gustavson School of Business who has completed the required core courses and will be entering fourth year. First preference will be given to a student who has demonstrated an interest in entering a career in finance. Second preference will be given to a student with demonstrated financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.",1,"Woman, interest in finance career, financial need",Business,Woman,4,Not specified,Not specified,Not specified,Not specified,Not specified,2500,FALSE,FALSE
Sydney G. Pettit Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students registered in a major or honours program in the Department of History who have demonstrated financial need. Approval of the recipient(s) is made by the Senate Committee on Awards upon the recommendation of the Department of History.,Varies,Financial need,History,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
TANSI Scholarship,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding entering, transferring or continuing undergraduate Métis students.",Varies,Métis,Not specified,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
TD Insurance Meloche Monnex Scholarship,Entrance,TRUE,"A scholarship of $1,000 is awarded to a student entering third year, who is a child or grandchild of an alumnus/alumna of the University of Victoria.",1,Child/grandchild of UVic alumnus/alumna,Not specified,Not specified,3,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
TED Fund*,In-Course,TRUE,"An award is given to a continuing undergraduate student with a physical disability (or disabilities) for the enhancement of the student learning experience through travel, in support of research/creative activity and may include, but not be limited to, field schools, exhibitions, conferences or presentations. The student's disability (or disabilities) must be of a severity and degree to require a personal care worker to accompany the student when travelling. Preference is for students with a GPA of 6.0 or higher. Students must submit: an essay of not less than 500 words and not more than 1000 words, outlining the educational benefits of travel, how travel will relate to the student's studies, and what the student intends to learn from their travel; a letter of reference from a University of Victoria professor, demonstrating that the travel is related and beneficial to the student's studies; a letter from a medical professional confirming that a personal care worker is needed to accompany the student when travelling; and a proposed budget for travel, including, but not limited to, estimated costs for travel, food, accommodation and accompaniment by a personal care worker. The student must provide ten percent (10%) of the approved budget. Students enrolled for Summer Session (May to August) must apply via the online application in January; students enrolled for the Winter Session (September to April) must apply via the online application in April.",1,Physical disability requiring personal care worker for travel,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,6,Varies,FALSE,FALSE
Terry and Myrna Daniels Scholarship in Music*,In-Course,TRUE,A scholarship is awarded to an academically outstanding undergraduate student entering third year in the School of Music with demonstrated financial need. Preference is for students from a single-parent family. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,1,"Financial need, single-parent family",Music,Not specified,3,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
TELUS Student Award,In-Course,TRUE,"One or more awards, of a maximum of $5,000 each, are given to undergraduate students entering or continuing at the University of Victoria who: are Canadian citizens or permanent residents, have demonstrated financial need, and commit to planning and carrying out a volunteer/community impact project over the course of their studies at UVic. The project will contribute to positive social, environmental or health outcomes in their communities.",Varies,"Canadian citizen/permanent resident, financial need, volunteer/community impact project",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Canadian,Not specified,5000,FALSE,FALSE
Terry Daniels Scholarship*,In-Course,TRUE,"Two or more scholarships of a minimum of $2,000 each are awarded to academically outstanding undergraduate students continuing in the Department of Electrical and Computer Engineering who intend to pursue the electronics specialization. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Electrical and Computer Engineering.",Varies,"Intend to pursue electronics specialization, financial need",Engineering,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2000,FALSE,FALSE
Thomas Henry (Harry) and Doris Collom Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students continuing in the Faculty of Science or the School of Music who have demonstrated financial need. The scholarship will be disbursed on a rotating basis, beginning with the Faculty of Science. First preference will be given to students born in British Columbia and second preference to students born in the United Kingdom. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of either the Faculty of Science or the School of Music. First disbursement (Science) September 2023.",Varies,"Financial need, born in BC/UK",Science/Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Tolmie-Wood Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate Indigenous students in the Faculty of Human and Social Development. At least one scholarship will be a minimum of $1,000. Students must complete the online application which is available April 1 to May 31 each year, and submit a letter outlining their contributions to their community and/or involvement with Indigenous art including music.",Varies,"Indigenous, contributions to community/involvement with Indigenous art",Human and Social Development,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Tom Perry Award for Social Responsibility*,In-Course,TRUE,"Awarded annually to a student who has made an exceptional contribution to environmental or humanitarian causes in association with recognized charitable organizations. Applicants must: be enrolled in at least nine units of study at the University of Victoria during the year in which they apply, and must have achieved at least a B+ average in that year. show evidence of financial need. register in a post-secondary institution in the following year. Applications and letters of recommendation must be submitted to Student Awards and Financial Aid by May 31 via the online application.",1,"Exceptional contribution to environmental/humanitarian causes, financial need",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,B+,Varies,FALSE,FALSE
Trussell Undergraduate Scholarship in Science and Technology (Faculty of Science),In-Course,TRUE,"One or more scholarships totaling $2750 are awarded to academically outstanding entrance, transfer or in-course undergraduate students in the Faculty of Science who have graduated from a secondary school in the Kootenay-Boundary area of British Columbia (School Districts #5, 6, 8, 10, 20 and 51).",Varies,Graduated from secondary school in Kootenay-Boundary area of BC,Science,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2750,FALSE,FALSE
Trussell Undergraduate Scholarship in Science and Technology (Engineering),In-Course,TRUE,"One or more scholarships totaling $2750 are awarded to academically outstanding entrance, transfer or in-course undergraduate students in the Faculty of Engineering who have graduated from a secondary school in the Kootenay-Boundary area of British Columbia (School Districts #5, 6, 8, 10, 20 and 51).",Varies,Graduated from secondary school in Kootenay-Boundary area of BC,Engineering,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,2750,FALSE,FALSE
University Challenge Scholarship*,In-Course,TRUE,"One or more scholarships to be awarded from funds won on the CTV Television Program ""University Challenge"" by Victoria teams. The fund was started in 1971 by a team consisting of Glen Paruk, Robert McDougall, Denis Johnston and Bruce Izard, coached by Professor Alfred Loft. Approval of the recipient will be made by the Senate Committee on Awards on the basis of outstanding service by the candidate to the community and/or the University and high academic standing.",Varies,Outstanding service to community/university,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
UVic Business Class of 2009 Scholarship,In-Course,TRUE,"One or more awards are given to continuing undergraduate students in the Bachelor of Commerce program in the Peter B. Gustavson School of Business. Preference will be given in the following priority: Students who self-identify as Black, Indigenous or a Person of Colour (BIPOC) Students with demonstrated financial need Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.",Varies,"BIPOC, financial need",Business,Not specified,Not specified,Not specified,Indigenous,Black/Person of Colour,Not specified,Not specified,Varies,FALSE,FALSE
UVSS BIPOC Public Interest Research Award*,In-Course,TRUE,"One or more awards, of at least $1,000 each, are given to continuing or transferring undergraduate students with demonstrated research-based contributions to community programs or agencies that address social justice and/or environmental issues. Preference will be given in the following order: Students who identify as Black, Indigenous or Person of Colour Students who are members of groups with historical and/or current barriers to equity Students with demonstrated financial need Students must submit a summary (maximum 500 words) of their research project that contributes to community programs and provide one letter of reference (maximum 300 words) that speaks to this.",Varies,"Research contributions to social justice/environmental issues, BIPOC, groups with barriers to equity, financial need",Not specified,Not specified,Not specified,Not specified,Indigenous,Black/Person of Colour,Not specified,Not specified,1000,FALSE,FALSE
Victoria Chartered Accountants Association Legacy Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students entering the fourth year of the Bachelor of Commerce program who are intending to pursue a Chartered Professional Accountant designation. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.,Varies,Intending to pursue CPA designation,Business,Not specified,4,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Victoria Pride Award in Honour of David Tillson*,In-Course,TRUE,"One award is given to an undergraduate student with demonstrated financial need who self-identifies as lesbian, gay, bisexual, transgender, two-spirited, gender non-binary, queer, questioning or asexual.",1,"LGBTQ2S+, financial need",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Victoria Real Estate Board Scholarship,Not specified,TRUE,$1000 awarded as a scholarship to students registered at the University of Victoria who are dependants of members of the Victoria Real Estate Board. Students currently registered at the University of Victoria who find that they must transfer to another university in order to complete their chosen program are eligible to apply for these awards.,1,Dependants of members of the Victoria Real Estate Board,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Visca/Dais-Visca Scholarship in Public Law/Legal Studies,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students entering third or fourth year in the Faculty of Social Sciences who intend to pursue a degree in Law. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Social Sciences.Preference will be given in the following priority:1. Students who have written the LSAT2. Students who are taking common pre-law majors such as Political Science, Economics or Psychology3. Students who intend to apply to UVic Law School.Applicants must submit the following:1. A cover letter (maximum 250 words) explaining why the student is interested in pursuing a degree in law2. A list of Law schools to which they intend to apply3. A research paper (maximum 2,000 words) examining a current challenge faced by the federal government in responding to a demand for change in the law to reflect current social, political and/or legal pressures. The recipient will demonstrate an understanding of limits within which the executive, legislative and judicial branches operate and be able to articulate the importance of the rule of law in the Canadian system of justice, for example:i. ""dialogue"" between the legislative and executive branches of government and the judiciaryii. threats to the rule of lawiii. treaty making and challenges to state sovereignty (can be international trade treaties or Aboriginal treaties)iv. demand for alternative criminal justice tribunals for addressing needs of disadvantaged communities as was done with Aboriginal defendants with the creation of the Gladue court.The student may submit a class paper",Varies,"Intend to pursue law degree, written LSAT, pre-law majors, intend to apply to UVic Law",Social Sciences,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
WATT Consulting Group 40th Anniversary Award,In-Course,TRUE,"One or more awards are given to continuing students in the Faculty of Engineering and Computer Science who have an interest in studying transportation engineering. Preference is for students who are members of groups with historical and/or current barriers to equity, including, but not limited to: First Nations, Métis and Inuit peoples and all other Indigenous peoples; members of groups that commonly experience discrimination due to race, ancestry, colour, religion and/or spiritual beliefs or place of origin; persons with visible and/or invisible (physical and/or mental) disabilities; persons who identify as women; and persons of marginalized sexual orientations, gender identities and gender expressions. Further preference is for students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering and Computer Science.",Varies,"Interest in transportation engineering, members of equity-seeking groups, financial need",Engineering and Computer Science,Not specified,Not specified,Yes,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
W.R. (Bill) Gordon Scholarship,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate third or fourth year students in a Major or Honours program in the Faculty of Science or the Faculty of Engineering, with preference being given to students in the Department of Mathematics and Statistics. Students must have made a significant contribution to one or more aspects of university life through involvement in areas such as student athletic programs, student affairs or service on university bodies or committees. Applications must be submitted to the Student Awards and Financial Aid Office via their online application by May 31st and must be accompanied by a letter or resume describing their contributions. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Mathematics and Statistics on behalf of the Faculty of Science.",Varies,Significant contribution to university life,Science/Engineering,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Wendy Diane Esdale Undergraduate Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding transferring or continuing undergraduate students who have demonstrated financial need. Preference shall be given to mature students.,Varies,"Financial need, mature students",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Westshore Soroptimist Award,In-Course,TRUE,"An award of $1,000 will be given to a woman undergraduate student who has worked to overcome a significant challenge(s) in their life and has demonstrated financial need. Preference will be given to a single parent. Students must submit a one-page summary outlining the challenge(s) they have faced in their path to post-secondary education. The essay must include how they approached the challenge(s), how they overcame the challenge(s), and what they have learned from it.",1,"Woman, overcame significant challenges, financial need, single parent",Not specified,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Wuitchik Family Marine Sciences Undergraduate Award,In-Course,TRUE,"One or more awards of $2,000 each are given to entering or continuing undergraduate students from underrepresented groups in the Faculty of Science who have demonstrated an interest in marine sciences through course work, co-op or work experience. Preference will be given to students doing, or planning to do, marine sciences field work. Students must submit a letter of application (max 300 words) explaining their passion for marine sciences and the opportunities this award would allow them to pursue. If no applicants meet these criteria, the Award will be given to student(s) from underrepresented minorities in the Faculty of Science. A student may only receive this award once. Approval of the recipient(s) will be made by the Senate Committee on Awards upon recommendation of the Faculty of Science.",Varies,"Underrepresented groups, interest in marine sciences, field work",Science,Not specified,Not specified,Not specified,Not specified,Underrepresented minorities,Not specified,Not specified,2000,FALSE,FALSE
Albert Hung Chao Hong Scholarship*,In-Course,FALSE,One or more scholarships of varying values based on academic excellence are awarded to undergraduate and graduate students attending the University of Victoria who are citizens of Hong Kong or Mainland China.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,Hong Kong/Mainland China,0,Varies,TRUE,FALSE
Alexander and Helen Stafford MacCarthy Muir Scholarship*,In-Course,FALSE,One or more scholarships are awarded on the basis of academic excellence to undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Alumni Association Undergraduate Scholarship*,In-Course,FALSE,"Scholarships of $2,000 each are awarded to students entering one of the final two years of undergraduate studies at the University of Victoria. Students may receive this award only once.",Varies,N/A,N/A,N/A,04-Mar,No,No,N/A,N/A,0,2000,TRUE,FALSE
"Anthony Gerard ""Bud"" Peetz Scholarship*",In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
British Columbia 1958 Centennial Scholarship*,In-Course,FALSE,A scholarship is awarded to a student who has completed at least one year at the University of Victoria and who is continuing University studies in the Province of British Columbia.,1,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
CFUW Victoria Anniversary Science Scholarship*,In-Course,FALSE,A scholarship is awarded to a 3rd or 4th year academically outstanding woman student in an Honours or Major program in the Department of Physics and Astronomy or the Department of Mathematics and Statistics. The scholarship celebrates the 100th anniversary of the first award given by Canadian Federation of University Women (CFUW) Victoria in 1917.,1,N/A,Physics and Astronomy/Mathematics and Statistics,Female,04-Mar,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Clara Evelyn Wilson Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students entering or continuing at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Dianne Draper Environmental Sustainability and Stewardship Scholarship,In-Course,FALSE,"A scholarship is awarded to an academically outstanding undergraduate student in third or fourth year of either a BA or BSc Program in the Department of Geography who is conducting research in the field of 'Environment, Sustainability and Stewardship.' Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Geography.",Varies,N/A,Geography,N/A,04-Mar,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Doreen and John Windsor Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students graduating from the Department of History who are honours students specializing in Canadian History.,Varies,N/A,History,N/A,4,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Dr. Anne Pomeroy Autor Award in Interdisciplinary Studies*,In-Course,FALSE,One or more awards are given to continuing undergraduate students who have a minor in an interdisciplinary program. Students with a GPA of 6.0 or higher in the previous year of study are eligible for this award.,Varies,N/A,Interdisciplinary,N/A,N/A,No,No,N/A,N/A,6,Varies,TRUE,FALSE
Dr. Esme Foord Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Edward J. Savannah Memorial Scholarship*,In-Course,FALSE,"A scholarship subscribed by his friends and former students, is awarded to students proceeding to third year science at the University of Victoria or elsewhere.",1,N/A,Science,N/A,3,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Frank and Margaret Gibbs Scholarship*,In-Course,FALSE,"One or more scholarships are awarded to students continuing in the Faculties of Engineering, Humanities, Social Sciences, Science, Fine Arts and Education.",Varies,N/A,Engineering/Humanities/Social Sciences/Science/Fine Arts/Education,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
General Undergraduate Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students entering or continuing at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Hazel T. Knox Memorial Scholarship*,In-Course,FALSE,"One or more scholarships are awarded annually to deserving and promising students in an honours program and continuing into the third or fourth year at the University of Victoria. If funds permit, additional awards of a similar nature will be made by the Senate Committee on Awards.",Varies,N/A,N/A,N/A,04-Mar,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Hildegard Anna Hayward Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Howard Petch Scholarship,In-Course,FALSE,"Nine scholarships are awarded to the students entering second, third, fourth or fifth year who achieve the highest academic standing in each of the Faculties of Business, Education, Engineering, Human and Social Development, Fine Arts, Law, Humanities, Science, and Social Sciences. The measure of academic standing will be grade point average on a full time course load (normally 12 units) taken in the preceding two academic terms. In the event of a tie, the scholarship will be shared. The amount of each scholarship will be $3,500 or the lesser amount required to place the recipient at a total amount of $5,000 (or a total amount of $10,000 for the Faculty of Law).",9,N/A,Business/Education/Engineering/Human and Social Development/Fine Arts/Law/Humanities/Science/Social Sciences,N/A,2/3/4/5,No,No,N/A,N/A,0,3500,TRUE,FALSE
Island Savings Award,In-Course,FALSE,"One or more awards of at least $1,000 each are given to entering, continuing or transferring undergraduate students with demonstrated financial need who indicate they have an interest in pursuing a career in the financial industry.",Varies,Financial Need,N/A,N/A,N/A,No,No,N/A,N/A,0,1000,TRUE,FALSE
Islands West Scholarship,In-Course,FALSE,One or more scholarships are awarded to students entering or continuing at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
J. Alan Baker Memorial Scholarship*,In-Course,FALSE,A scholarship is awarded to a deserving and promising student in an Honours program who is continuing into third or fourth year at the University of Victoria.,1,N/A,N/A,N/A,04-Mar,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Jarmila Vlasta Von Drak Thouvenelle Co-op Scholarship*,In-Course,FALSE,"One or more scholarships are awarded to undergraduate and graduate co-op students at the University of Victoria. Upon the recommendation of the Office of the Co-operative Education Programme, undergraduate student approval will be made by the Senate Committee on Awards and in the case of graduate students, approval will be made by the Graduate Awards Committee.",Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Jarmila Vlasta Von Drak Thouvenelle Scholarship,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Jess Wallace Munroe Scholarship*,In-Course,FALSE,One or more scholarships will be awarded annually to students with high academic standing.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
John and Myrtle Tilley Undergraduate Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students entering or continuing at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Mary Hannah Cooper Scholarship*,In-Course,FALSE,A scholarship is awarded to a worthy and deserving student.,1,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Matthew Cowan Annual Scholarship*,In-Course,FALSE,A scholarship is awarded to a promising student with high academic standing. The winner must continue at the University of Victoria.,1,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Melva J. Hanson Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Mr. and Mrs. John L. Wyatt Price Scholarship*,In-Course,FALSE,One or more scholarships are awarded to students attending the University of Victoria. Approval of the recipients will be made by the Senate Committee on Awards.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Nellie Gillespie Prize*,In-Course,FALSE,A prize is awarded to the student who upon graduation with a bachelor's degree stands at the head of the graduating class on the basis of the graduating average.,1,N/A,N/A,N/A,4,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Pearson Family Award,In-Course,FALSE,"One or more awards of $2000 each are given to undergraduate students entering second, third or fourth year who are sponsored by the World University Service of Canada (WUSC) Student Refugee Program to attend UVic. Preference will be given to students in one of the following departments: Biochemistry & Microbiology, Health Information Science, Nursing or Public Health and Social Policy. Part-time students (minimum 6.0 units) are eligible for this award but preference is for full-time students.",Varies,Biochemistry & Microbiology/Health Information Science/Nursing/Public Health and Social Policy,N/A,N/A,02/03/2004,No,No,N/A,N/A,0,2000,TRUE,FALSE
Percy H. Elliott Memorial Scholarship*,In-Course,FALSE,"A scholarship is awarded to a student of outstanding merit and promise in one specific field of study, who also has a high general academic standing and qualities of character indicating worthiness to hold the scholarship. The scholarship is awarded, upon the recommendation of the Senate Committee on Awards, to a student in the first or second year, proceeding immediately towards a degree.",1,N/A,N/A,N/A,02-Jan,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Pratt-Short Memorial Scholarship*,In-Course,FALSE,One or more scholarships are awarded to academically outstanding undergraduate students with broad interests continuing in the University of Victoria.,1,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
President's Scholarship,In-Course,FALSE,"Scholarships are awarded to academically outstanding undergraduate students in all faculties. Recipients must be registered in a total of 12 or more units of study in two academic terms in the 12 month period (May to April) immediately preceding the adjudication of awards. Students who complete one academic term of 6 or more units and a co-op, work experience, practicum or international exchange term in the previous 12 months period (May to April) will also be considered for this scholarship.",Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
"R.G, I.M. and Y.H.K. Carley Scholarship*",In-Course,FALSE,A scholarship is awarded annually to a student with high academic standing.,1,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Robert and Norah Wallace Commemorative Scholarship*,In-Course,FALSE,"Five scholarships, one each in the Faculties of Education, Fine Arts, Human and Social Development, Humanities and Science, are awarded to outstanding students entering one of the final two years of undergraduate studies.",5,N/A,Education/Fine Arts/Human and Social Development/Humanities/Science,N/A,04-Mar,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Undergraduate Award in Indigenous Language Revitalization,In-Course,FALSE,"One or more awards are given to Indigenous undergraduate students in the Faculty of Education enrolled in the Certificate in Indigenous Language Proficiency (CILP), the Diploma in Indigenous Language Revitalization (DILR) or the Bachelor of Education in Indigenous Language Revitalization (BEd ILR) who are developing their own language proficiency and have a strong record of contributing to their/a language community through their work. Preference will be given to students from Northwest Territories. Part-time students (minimum 3.0 units) are eligible for this award. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education.",Varies,Indigenous students from Northwest Territories,Education,N/A,N/A,No,Yes,N/A,N/A,0,Varies,TRUE,FALSE
University of Victoria Faculty Scholarship,In-Course,FALSE,Approximately 60 scholarships of $500 are awarded annually on the basis of academic standing. The fund for these awards was established by donations of University of Victoria faculty members and professional librarians.,60,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,500,TRUE,FALSE
UVic Undergraduate Scholarship,In-Course,FALSE,One or more scholarships are awarded to academically outstanding entering or continuing undergraduate students.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Westad Scholarship*,In-Course,FALSE,This scholarship is awarded to a deserving student completing first or second year and continuing University studies.,1,N/A,N/A,N/A,02-Jan,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Woods Trust Scholarship*,In-Course,FALSE,"One or more scholarships are awarded to academically outstanding undergraduate students at the University of Victoria who are engaged in the field of Electrical Engineering, Software Engineering, Computer Science, or in any allied field in the physical sciences (Physics, Astronomy, Chemistry and Earth Sciences). Postgraduate students who intend to study at other universities or colleges are eligible for this scholarship.",Varies,N/A,Electrical Engineering/Software Engineering/Computer Science/Physics/Astronomy/Chemistry/Earth Sciences,N/A,N/A,No,No,N/A,N/A,0,Varies,TRUE,FALSE
Andreas Antoniou Medal for Digital Signal Processing,In-Course,FALSE,A medal is awarded annually to the B.Eng. graduate with the highest graduating GPA in Electrical Engineering or Computer Engineering with specialization in Digital Signal Processing.,1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
Andrew Rippin MEICON-BC Conference Award,In-Course,FALSE,A prize is awarded to an undergraduate or graduate student who has the best paper within the discipline of Islamic Studies at the annual MEICON-BC student conference in recognition of Dr. Andrew Rippin's contributions to the field. The adjudication of the award will be made by members of MEICON-BC.,Varies,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,250,FALSE,TRUE
Canadian Society of Mechanical Engineering Medal,In-Course,FALSE,"Awarded to the student in the Faculty of Engineering, registered for a B.Eng. degree, in the Mechanical Engineering program, who stands at the head of the class on the basis of a grade point average calculated on the 30 units of 300 and 400 level course work yielding the highest average.",1,N/A,Engineering,N/A,4,No,No,N/A,N/A,0,Medal,FALSE,TRUE
